customer_no,productions,tickets,revenues,days_last,days_max,days_mean,weekdays,weekends,email_engagement,email_unsubscribe,membership,years_member,membership_dropped,membership_downgraded,mosaic,fss,london,uk,proximity,churned
304,12,20,2348,21,7,0,0.25,0.75,0.25,N,I,5,N,N,C,F,N,Y,B,1
305,8,12,758,140,426,102,0.38,0.62,0.48,N,I,2,N,N,A,B,Y,Y,A,1
306,7,14,2268,21,665,257,0.43,0.57,0.27,N,A,0,X,X,X,X,N,N,D,1
307,13,28,285,45,412,67,0.85,0.15,0.14,N,A,0,X,X,F,G,N,Y,B,1
308,10,18,439,309,426,141,0.6,0.4,0.3,N,A,0,X,X,O,B,N,Y,B,1
309,12,14,1027,163,371,88,0.5,0.5,0.69,N,I,1,N,N,X,X,N,N,C,1
310,13,47,5681,161,317,70,0.69,0.31,0.42,N,J,4,N,N,A,F,N,Y,B,1
311,18,32,1308,42,353,87,0.89,0.11,0.25,N,A,2,X,X,N,G,Y,Y,A,0
312,23,24,1964.04,70,298,64,0.7,0.3,0.69,N,I,3,N,N,O,G,Y,Y,A,1
313,32,48,1329,25,297,51,0.5,0.5,0.2,N,I,5,N,N,B,M,N,Y,B,0
314,10,19,2467,163,466,138,0,1,0.4,N,J,1,N,N,A,B,N,Y,B,0
315,24,28,597,42,272,67,0.5,0.5,0.32,N,A,0,X,X,N,G,N,Y,B,0
316,6,14,1608,62,589,215,0.83,0.17,0.21,N,I,5,N,N,A,F,Y,Y,A,1
317,6,10,342,160,1172,288,0.5,0.5,0.62,N,A,0,X,X,X,X,Y,Y,A,1
318,9,16,681,285,351,155,0.67,0.33,0.02,N,A,0,X,X,A,B,Y,Y,A,0
319,33,66,10601,0,194,50,0.85,0.15,0.75,N,J,5,N,N,A,B,Y,Y,A,0
320,26,48,4538.72,21,333,64,0.69,0.31,0.32,N,I,5,N,N,A,G,Y,Y,A,0
321,8,14,1356,258,783,157,0.25,0.75,0.24,N,A,3,X,X,X,X,N,N,C,1
322,11,25,3617,357,132,51,0.64,0.36,0.53,N,I,3,N,N,C,F,N,Y,B,1
323,36,39,344,126,446,42,0.11,0.89,0.51,N,A,0,X,X,A,B,Y,Y,A,1
324,6,12,356,22,852,309,1,0,0.5,N,A,0,X,X,A,B,Y,Y,A,0
325,6,12,430,309,716,171,0.67,0.33,0.45,N,A,0,X,X,B,M,N,Y,B,1
326,8,24,206,95,386,206,0.5,0.5,0.3,N,A,0,X,X,A,B,Y,Y,A,1
327,7,14,704,46,837,237,0.57,0.43,0.33,N,I,1,N,N,A,B,N,Y,B,1
328,19,28,167,218,56,10,0.37,0.63,0.48,N,A,0,X,X,X,X,N,N,D,1
329,92,133,9494,28,105,17,0.47,0.53,0.68,N,I,5,N,N,A,G,Y,Y,A,0
330,10,19,814,324,369,116,0.8,0.2,0.05,N,A,2,X,X,A,F,Y,Y,A,1
331,12,25,4466.1,78,271,103,0.83,0.17,0.73,N,I,5,N,N,X,X,N,N,C,1
332,15,16,1234,159,371,78,0.6,0.4,0.33,N,J,5,N,N,A,M,Y,Y,A,1
333,11,18,391,103,344,103,0.27,0.73,0.47,N,A,0,X,X,A,B,N,Y,B,0
334,7,14,2014,143,387,199,1,0,0.72,N,I,5,N,N,A,B,Y,Y,A,1
335,8,22,175,109,389,213,0.38,0.62,0.15,N,A,0,X,X,G,B,N,Y,B,0
336,46,53,874,42,281,35,0.72,0.28,0.5,N,A,3,X,X,A,B,N,Y,B,0
337,6,11,1160.2,42,309,134,0.67,0.33,0.88,N,A,0,X,X,H,B,Y,Y,A,0
338,22,22,2743.55,70,561,65,0.64,0.36,0.59,N,I,5,N,N,A,B,Y,Y,A,0
339,7,8,267,42,541,257,1,0,0.39,N,A,0,X,X,A,B,Y,Y,A,1
340,11,15,501,163,944,117,0.45,0.55,0.18,N,A,0,X,X,O,A,Y,Y,A,1
341,6,12,1654,357,917,254,0.17,0.83,0.31,N,I,5,N,N,B,F,N,Y,B,0
342,10,21,552,42,496,100,0.8,0.2,0.63,N,A,0,X,X,A,F,Y,Y,A,0
343,8,20,1598,270,742,194,0.12,0.88,0.57,N,A,4,Y,N,C,M,N,Y,B,1
344,46,90,3883,227,165,30,0.46,0.54,0.35,N,L,3,N,N,A,G,Y,Y,A,0
345,71,140,9503.76,1,113,23,0.97,0.03,0.76,N,I,5,N,N,O,I,Y,Y,A,0
346,32,68,11942,12,259,48,0.88,0.12,0.62,N,J,5,N,N,C,M,N,Y,B,0
347,13,16,1346.5,254,468,99,0.77,0.23,0.2,N,I,5,N,N,B,M,N,Y,B,1
348,6,9,595,70,916,256,0.5,0.5,0.7,N,A,2,X,X,X,X,N,N,C,1
349,9,17,330,42,190,57,0.78,0.22,0.65,N,A,0,X,X,A,B,Y,Y,A,0
350,8,23,1195,201,429,128,0,1,0.45,N,I,4,N,N,C,F,N,Y,B,1
351,6,10,905,42,735,312,0.83,0.17,0.8,N,A,0,X,X,B,F,Y,Y,A,1
352,12,24,1374.4,65,431,107,0.5,0.5,0.31,N,A,2,Y,N,O,J,Y,Y,A,0
353,7,14,770,42,545,222,0.71,0.29,0.08,N,A,0,X,X,B,F,N,Y,B,1
354,44,86,1175,68,203,36,0.23,0.77,0.63,N,G,5,N,N,E,M,N,Y,B,0
355,18,45,2132.5,154,335,87,0.56,0.44,0.76,N,I,4,N,N,C,F,N,Y,B,1
356,7,13,774,357,469,212,0.14,0.86,0.61,N,I,5,N,N,C,F,N,Y,B,0
